ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212	ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212
ERZ918402.20081,0,10879,UniRef50_D6GRK4,5776,9826	ERZ909720.20547,0,18428,UniRef50_D6GRK4,14291,18341
ERZ918402.20081,0,10879,UniRef50_D6GRK4,5776,9826	ERZ925494.47252,0,70973,UniRef50_D6GRK4,59030,63080
ERZ989522.13,0,41809,UniRef50_A0A134C5X2,2168,5363	ERZ989522.13,0,41809,UniRef50_A0A134C5X2,2168,5363
ERZ941104.12350,38465,89742,UniRef50_A0A267LZI1,65550,69693	ERZ941104.12350,38465,89742,UniRef50_A0A267LZI1,65550,69693
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ1034892.2161,0,10757,UniRef50_R6QHH1,5919,9885
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|UPEK01001133|UPEK01001133.1,0,29688,UniRef50_R6QHH1,9241,13207
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ917246.51242,14311,63336,UniRef50_R6QHH1,59025,62991
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ941917.30664,0,14524,UniRef50_R6QHH1,1086,5052
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|USYB01000728|USYB01000728.1,0,37472,UniRef50_R6QHH1,23847,27813
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ864575.2,1129,52494,UniRef50_R6QHH1,16504,20470
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ915371.14323,0,62159,UniRef50_R6QHH1,487,4453
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ919169.28026,5745,68842,UniRef50_R6QHH1,50459,54425
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|UZTT01000347|UZTT01000347.1,0,52718,UniRef50_R6QHH1,11695,15661
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|USXO01000374|USXO01000374.1,0,46026,UniRef50_R6QHH1,22029,25995
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ840360.458,0,58168,UniRef50_R6QHH1,17132,21098
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ917496.60485,0,21275,UniRef50_R6QHH1,15530,19496
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ925154.43809,0,29538,UniRef50_R6QHH1,6495,10461
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ983721.114424,0,49552,UniRef50_R6QHH1,27194,31160
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA-USVH01001315-USVH01001315.1-human-gut-metagenome-genome-assembly--contig:-NODE-1315-length-34017-cov-114.843253,0,34017,UniRef50_R6QHH1,18844,22810
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ920063.70773,0,38465,UniRef50_R6QHH1,17463,21429
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ917767.6788,0,42628,UniRef50_R6QHH1,16158,20124
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ914762.56705,0,36580,UniRef50_R6QHH1,15358,19324
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ919092.41526,0,51867,UniRef50_R6QHH1,28712,32678
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ918965.41686,37528,75452,UniRef50_R6QHH1,52915,56881
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|USXF01000990|USXF01000990.1,0,21325,UniRef50_R6QHH1,15625,19591
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|UPNU01000977|UPNU01000977.1,0,26063,UniRef50_R6QHH1,7217,11183
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ917729.68015,0,28458,UniRef50_R6QHH1,9110,13076
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|UPQJ01000982|UPQJ01000982.1,241,27351,UniRef50_R6QHH1,15631,19597
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ919355.13240,0,61677,UniRef50_R6QHH1,12835,16801
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ914931.78153,0,26428,UniRef50_R6QHH1,17511,21477
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ919233.39705,0,21954,UniRef50_R6QHH1,18364,21706
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ925150.67711,0,19442,UniRef50_R6QHH1,7449,11415
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|OWEZ01001163|OWEZ01001163.1,0,22587,UniRef50_R6QHH1,9038,13004
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ917368.10051,0,41026,UniRef50_R6QHH1,16810,20776
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ENA|UZOH01000174|UZOH01000174.1,0,63026,UniRef50_R6QHH1,14345,18311
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ925950.30428,0,36344,UniRef50_R6QHH1,11152,15118
ENA-USXX01001896-USXX01001896.1-human-gut-metagenome-genome-assembly--contig:-NODE-1896-length-11840-cov-11.276630,0,11840,UniRef50_R6QHH1,6952,10918	ERZ942243.82427,0,22905,UniRef50_R6QHH1,17869,21835
NZ_PDOG01000009.1,8366,59367,UniRef50_A0A0B7H5E7,51403,54484	NZ_PDOG01000009.1,8366,59367,UniRef50_A0A0B7H5E7,51403,54484
ENA-USUG01011018-USUG01011018.1-human-gut-metagenome-genome-assembly--contig:-NODE-11018-length-6975-cov-208.566831,0,6975,UniRef50_UPI000E5CDAED,323,3020	ENA-USUG01011018-USUG01011018.1-human-gut-metagenome-genome-assembly--contig:-NODE-11018-length-6975-cov-208.566831,0,6975,UniRef50_UPI000E5CDAED,323,3020
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ERZ857992.2921,0,13274,UniRef50_UPI000E5CDAED,455,4553
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA|USYX01002869|USYX01002869.1,0,9687,UniRef50_UPI000E5CDAED,1530,5628
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA|ORQN01001201|ORQN01001201.1,0,16863,UniRef50_UPI000E5CDAED,4063,8122
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA-OZDZ01000325-OZDZ01000325.1-human-gut-metagenome-genome-assembly--contig:-NODE-325-length-22189-cov-6.791678,0,22189,UniRef50_UPI000E5CDAED,29,4091
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ERZ919553.1719,0,15396,UniRef50_UPI000E5CDAED,11342,15296
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ERZ914384.39535,0,20092,UniRef50_UPI000E5CDAED,49,4147
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA-OKUA01000647-OKUA01000647.1-human-gut-metagenome-genome-assembly--contig:-NODE-647-length-25014-cov-4.618855,0,25014,UniRef50_UPI000E5CDAED,4535,8633
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA-OROG01001425-OROG01001425.1-human-gut-metagenome-genome-assembly--contig:-NODE-1425-length-22049-cov-12.893335,0,22049,UniRef50_UPI000E5CDAED,10357,14455
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ERZ871845.35,0,27007,UniRef50_UPI000E5CDAED,12570,16668
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA-ORMG01000557-ORMG01000557.1-human-gut-metagenome-genome-assembly--contig:-NODE-557-length-17863-cov-3.87225,0,17863,UniRef50_UPI000E5CDAED,11344,15442
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA-OUPX01000799-OUPX01000799.1-human-gut-metagenome-genome-assembly--contig:-NODE-799-length-20746-cov-25.4346,0,20746,UniRef50_UPI000E5CDAED,11313,15411
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA-OHRL01000604-OHRL01000604.1-human-gut-metagenome-genome-assembly--contig:-NODE-604-length-25915-cov-4.579776,0,25915,UniRef50_UPI000E5CDAED,14615,18713
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ERZ918068.90436,106754,157902,UniRef50_UPI000E5CDAED,135229,139327
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ERZ925545.97930,0,42661,UniRef50_UPI000E5CDAED,20047,24145
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ENA|UZOW01000891|UZOW01000891.1,0,21940,UniRef50_UPI000E5CDAED,12468,16566
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	ERZ914669.97160,0,30100,UniRef50_UPI000E5CDAED,7428,11526
ENA-OPDD01002977-OPDD01002977.1-human-gut-metagenome-genome-assembly--contig:-NODE-2977-length-9847-cov-1.897672,0,9847,UniRef50_UPI000E5CDAED,2339,6437	NZ_QROA01000028.1,0,33805,UniRef50_UPI000E5CDAED,20437,24535
ENA-OLGH01003003-OLGH01003003.1-human-gut-metagenome-genome-assembly--contig:-NODE-3003-length-12258-cov-6.295173,0,12258,UniRef50_A0A5C0DSR8,37,2047	ENA-OLGH01003003-OLGH01003003.1-human-gut-metagenome-genome-assembly--contig:-NODE-3003-length-12258-cov-6.295173,0,12258,UniRef50_A0A5C0DSR8,37,2047
ERZ1051691.12,44566,73144,UniRef50_A0A0S2HX99,44716,48796	ERZ1051691.12,44566,73144,UniRef50_A0A0S2HX99,44716,48796
ERZ1051691.12,44566,73144,UniRef50_A0A0S2HX99,44716,48796	ERZ922471.157,0,28579,UniRef50_A0A0S2HX99,24373,28453
ERZ1051691.12,44566,73144,UniRef50_A0A0S2HX99,44716,48796	ERZ919290.626,0,35814,UniRef50_A0A0S2HX99,31565,35645
ERZ1051691.12,44566,73144,UniRef50_A0A0S2HX99,44716,48796	ERZ1052372.5,0,46477,UniRef50_A0A0S2HX99,42271,46351
ERZ1051691.12,44566,73144,UniRef50_A0A0S2HX99,44716,48796	ERZ922472.484,60118,106676,UniRef50_A0A0S2HX99,60271,64351
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ986429.28,34,39836,UniRef50_A5Z395,712,4033
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ836760.801,0,42472,UniRef50_A5Z395,39027,42348
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ988391.28,340,46342,UniRef50_A5Z395,1018,4339
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	Ga0243913_100866,0,41684,UniRef50_A5Z395,37988,41309
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ975175.26,2415,45953,UniRef50_A5Z395,2718,6039
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ970280.14,0,53379,UniRef50_A5Z395,49720,53041
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ918174.9916,0,44344,UniRef50_A5Z395,40783,44104
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ919580.38438,9766,55781,UniRef50_A5Z395,10110,13431
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ968976.10,0,68441,UniRef50_A5Z395,754,4075
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	Ga0244145_100050,0,66439,UniRef50_A5Z395,79,3400
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ922410.4676,67457,135792,UniRef50_A5Z395,131792,135113
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ876792.1,0,71870,UniRef50_A5Z395,168,3489
ENA-OHDD01000360-OHDD01000360.1-human-gut-metagenome-genome-assembly--contig:-NODE-360-length-27400-cov-3.138270,0,27400,UniRef50_A5Z395,168,3489	ERZ920856.3240,29,68364,UniRef50_A5Z395,707,4028
ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315	ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315
ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315	ENA|UYFE01008675|UYFE01008675.1,0,4678,UniRef50_A5Z395,1185,4500
ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315	ENA|UXMP01003734|UXMP01003734.1,0,8063,UniRef50_A5Z395,1611,4926
ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315	ERZ915458.2115,0,6850,UniRef50_A5Z395,861,4176
ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315	ENA|OHUJ01001603|OHUJ01001603.1,0,7185,UniRef50_A5Z395,436,3751
ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315	ERZ963921.10197,0,7439,UniRef50_A5Z395,844,4159
ENA-OUPB01006730-OUPB01006730.1-human-gut-metagenome-genome-assembly--contig:-NODE-6730-length-5490-cov-9.866237,0,5490,UniRef50_A5Z395,2000,5315	ENA|UXRQ01004091|UXRQ01004091.1,0,7935,UniRef50_A5Z395,3009,6324
ERZ989329.3,0,33462,UniRef50_A0A062XBE5,29088,33045	ERZ989329.3,0,33462,UniRef50_A0A062XBE5,29088,33045
ENA-ORPY01000135-ORPY01000135.1-human-gut-metagenome-genome-assembly--contig:-NODE-135-length-96115-cov-16.016177,0,45895,UniRef50_S0FEG1,7804,12376	ENA-ORPY01000135-ORPY01000135.1-human-gut-metagenome-genome-assembly--contig:-NODE-135-length-96115-cov-16.016177,0,45895,UniRef50_S0FEG1,7804,12376
ENA-ORPY01000135-ORPY01000135.1-human-gut-metagenome-genome-assembly--contig:-NODE-135-length-96115-cov-16.016177,0,45895,UniRef50_S0FEG1,7804,12376	ERZ918360.73787,52129,102875,UniRef50_S0FEG1,85506,90009
ENA-ORPY01000135-ORPY01000135.1-human-gut-metagenome-genome-assembly--contig:-NODE-135-length-96115-cov-16.016177,0,45895,UniRef50_S0FEG1,7804,12376	ENA|UYEV01001084|UYEV01001084.1,0,23537,UniRef50_S0FEG1,6835,11338
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ERZ1033951.188,0,26591,UniRef50_Q6NKI3,1885,5095
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	Ga0119778_1000840,0,19962,UniRef50_Q6NKI3,11610,14820
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ENA|UPVX01000174|UPVX01000174.1,0,39985,UniRef50_Q6NKI3,9765,12975
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ENA|UPJC01000588|UPJC01000588.1,0,16695,UniRef50_Q6NKI3,2874,5658
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ERZ989375.8938,119148,170116,UniRef50_Q6NKI3,139894,143104
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ERZ1034176.72,2373,47780,UniRef50_Q6NKI3,23119,26329
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ERZ1034244.22,0,53265,UniRef50_Q6NKI3,21496,24706
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ERZ989727.34182,28942,65710,UniRef50_Q6NKI3,57926,60710
NODE-15-length-235186-cov-245.849,73783,124751,UniRef50_Q6NKI3,94529,97739	ERZ964592.20502,0,61894,UniRef50_Q6NKI3,8643,11853
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ477172.367-NODE-367-length-40222-cov-3.23686,0,40222,UniRef50_UPI000E5CDAED,30330,34392
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ918386.87506,2817,53668,UniRef50_UPI000E5CDAED,38705,42767
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ915373.65721,8481,59302,UniRef50_UPI000E5CDAED,42322,46384
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ916614.94404,0,18998,UniRef50_UPI000E5CDAED,10084,14146
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ909706.42612,58854,129387,UniRef50_UPI000E5CDAED,71614,75676
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ925453.78026,0,78676,UniRef50_UPI000E5CDAED,67673,71735
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	Ga0168848_100062,36120,127261,UniRef50_UPI000E5CDAED,49037,53099
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ914762.34433,850,51689,UniRef50_UPI000E5CDAED,34950,39012
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ925450.6666,94781,128713,UniRef50_UPI000E5CDAED,107374,111436
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ENA|OGCQ01000174|OGCQ01000174.1,5802,59082,UniRef50_UPI000E5CDAED,42596,46658
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ1033841.459,0,27661,UniRef50_UPI000E5CDAED,10749,14811
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ENA-OGKG01000690-OGKG01000690.1-metagenome-genome-assembly--contig:-NODE-690-length-43484-cov-147.573050,0,43484,UniRef50_UPI000E5CDAED,11347,15409
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ979876.33,0,17331,UniRef50_UPI000E5CDAED,9801,13863
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ477175.670-NODE-670-length-25346-cov-2.63975,0,25346,UniRef50_UPI000E5CDAED,5744,9806
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ920339.2210,14271,65110,UniRef50_UPI000E5CDAED,47672,51734
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ1026981.66,0,21031,UniRef50_UPI000E5CDAED,16850,20912
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ919404.79249,8770,45181,UniRef50_UPI000E5CDAED,20748,24810
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ925850.59242,0,74359,UniRef50_UPI000E5CDAED,57204,61266
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ920074.40085,43219,125587,UniRef50_UPI000E5CDAED,56205,60267
ERZ918326.93261,67493,118332,UniRef50_UPI000E5CDAED,79854,83916	ERZ925846.30449,0,83544,UniRef50_UPI000E5CDAED,66953,71015
